,BTC,long,short,mix,short_if_neg_day,mix2
2022-04-08,3.1103212761996524,2.314346568914706,0.6898148419246302,2.589916081370811,1.5920752326413996,3.269591708499546
2022-04-09,3.119894659871196,2.317311137512556,0.6857713229036443,2.5912632423602666,1.5902182587356253,3.271442092753931
2022-04-10,3.1041298205743475,2.3008274546303316,0.6993824079465846,2.5802239934952182,1.5902182587356253,3.2549584098717066
2022-04-11,3.0479910869687354,2.2864136319878443,0.7038285630167181,2.5675886328807844,1.5946644138057589,3.2432122802712997
2022-04-12,3.056266147765563,2.285346800609854,0.6933140560225336,2.5623159987051203,1.586234782507391,3.2370876701142888
2022-04-13,3.08730588346806,2.288967256701054,0.6833202141377623,2.561938918042412,1.586234782507391,3.240708126205489
2022-04-14,3.060223356846569,2.2951879718976564,0.6689623526466252,2.562416488642559,1.5718769210162538,3.2383141245074087
2022-04-15,3.0660232197851305,2.295533121146255,0.6588014679778661,2.5586972840236544,1.5637819508656898,3.233802291665669
2022-04-16,3.0609967705817236,2.308798950759316,0.6682002857171607,2.575722640732433,1.5731807686049843,3.2527074119223065
2022-04-17,3.05061419620538,2.318387182554519,0.681622606239982,2.5906798007367646,1.5866030891278058,3.2703490360312024
2022-04-18,3.072733007643906,2.3216993313697687,0.6793583399921227,2.5930862430528707,1.5866030891278058,3.273661184846452
2022-04-19,3.0897466600955457,2.321638068503001,0.683222488089928,2.5945706394252253,1.5866030891278058,3.2735999219796845
2022-04-20,3.097175234009421,2.331475664154995,0.6809114072381853,2.603483802736522,1.584292008276063,3.2820508691206327
2022-04-21,3.068598172504989,2.3026593958401786,0.6750936553896216,2.57234043368228,1.5784742564274992,3.2497439496966782
2022-04-22,3.0429429595654134,2.301288818942067,0.6781720534669541,2.5722012160151015,1.5815526545048315,3.250220411644966
2022-04-23,3.050888374778292,2.3030721150731317,0.6862117593855164,2.577200394513591,1.5858637508795739,3.254590365600876
2022-04-24,3.0377434472129123,2.303862379845041,0.7120562088213146,2.5883284390598194,1.611708200315372,3.2708873000342638
2022-04-25,3.070392344004808,2.327717055828174,0.7028483249233899,2.6084999614837825,1.6063061033064034,3.2915007178120157
