,Bitcoin,avg,top,+SL,TopvBot,mozaic,crypto_on,btcXalt,1+2,1+3,1+2+3
2019-03-27,0.2887080083448354,0.13587606181072973,0.49233151280181686,0.5992308787114682,1.7142528223382472,0.8528944617707562,0.9790780792023024,1.0837569710524626,0.7108387656166251,0.909306029732473,0.7650811738866643
2019-03-28,0.2874393959942769,0.13436578291691942,0.48552475953976665,0.5909461830697482,1.7051287501760342,0.8435201353358273,0.9757350166172912,1.0837569710524626,0.7028096589785374,0.8993116729462138,0.7568598429878118
2019-03-29,0.28950682367199054,0.13563109710778098,0.49689704195670326,0.6047877158753053,1.74931539767041,0.8639781106540758,0.9746546563446165,1.0837569710524626,0.7188081615165012,0.9211227658150541,0.7731709144413385
2019-03-30,0.29009211684699404,0.13527682598081858,0.49518852967561156,0.6027082363196262,1.7388404166972111,0.860273150343445,0.9786237335288767,1.0837569710524626,0.7166116479548468,0.9171727545283334,0.7709740585086219
2019-03-31,0.29000340366141397,0.136737614300008,0.5042726571473636,0.6137647897712761,1.775186136116444,0.8767928358436013,0.9788050912762765,1.0837569710524626,0.729717776591381,0.9347850738807058,0.7843341781753727
2019-04-01,0.2937316684135682,0.1397987674087231,0.5078425029725975,0.6181097520479046,1.7476179856053862,0.8763920455067704,0.9807246635503549,1.0837569710524626,0.729758663100755,0.9343577747408073,0.7843960512036307
2019-04-02,0.34471177665469227,0.15999039318230593,0.5714962305150083,0.6955845390495107,1.874940754989773,0.9709074166684339,1.0001576561129293,1.0837569710524626,0.8081401635677107,1.035124517581733,0.8644163143683957
2019-04-03,0.35129141839966826,0.16115192753277363,0.5763311640934101,0.7014692761044462,1.8925588889585399,0.979424507519057,1.0014140640872713,1.0837569710524626,0.815128747328438,1.044204940088137,0.871512413543018
2019-04-04,0.34774368429033137,0.15998919306198953,0.5730927547503485,0.6975277147259622,1.8876987434880739,0.9749171814436727,1.0091627090529953,1.0831170287453136,0.8131418806114152,1.039091199791807,0.8693570711756017
2019-04-05,0.35578826632222765,0.16811455445092635,0.5883684440257312,0.7161201965586164,1.9275098430614246,0.9990949359026928,1.0052716336539032,1.0731011333548957,0.8315155342673223,1.060056069361616,0.8843053241718092
2019-04-06,0.3574225963659068,0.16640518050325123,0.580404737887037,0.7064273402144592,1.9051788623117336,0.9862213053849491,0.9879725235986903,1.0771634769714358,0.8177596677355187,1.048403416844497,0.8717523123592454
2019-04-07,0.3672470987822031,0.17121557026415785,0.5838185928991779,0.7105824415750788,1.9100259582984644,0.9909248818818908,1.0037155362826122,1.0778251472086657,0.8247224768450606,1.053725559816183,0.8792079309018537
2019-04-08,0.3736663876501332,0.16916647467193585,0.5641142766712461,0.6865997501960991,1.8454514817098246,0.9574614576446774,1.0175414475294573,1.0936445793068323,0.8011043114176224,1.025874222670494,0.8613208957351756
2019-04-09,0.3676752813194471,0.16967326023808188,0.5512534725723621,0.670946494735662,1.7082433868254419,0.9191803016149357,1.0135150255382932,1.0945687866771425,0.7698836059906226,0.9852912606281012,0.8298028328112506
2019-04-10,0.3761232806991447,0.17082616680254037,0.5590447786409909,0.6804295179840516,1.735223370468013,0.9326804840238625,0.998600613705907,1.1028809564251374,0.7777933552328478,1.003503585122886,0.8405545057038694
2019-04-11,0.35775251145924825,0.15708661847956398,0.5264036239932177,0.6407010275804411,1.6746097369846198,0.8855385116143958,0.9941073795539633,1.1184902540471005,0.7395708293820576,0.9598832813825637,0.8067254721025587
2019-04-12,0.35952211876336504,0.15874008255682479,0.5304709537190339,0.645651491855498,1.6208243354313279,0.8806193756540232,0.9925259731673184,1.1244125169508705,0.7353738297317358,0.9570923924145242,0.8042936210594315
2019-04-13,0.36001994046145125,0.15842742339336668,0.5324470021733184,0.6480565974009437,1.6228937484291817,0.8831810775193134,0.9904484147776935,1.1275468034923064,0.7370212346082331,0.9612104943979833,0.8069873198819256
2019-04-14,0.36504492846861536,0.1608140298714947,0.5334883606905607,0.6493240648758359,1.6085787049449076,0.8817358707671504,0.9984909079075281,1.1214008773685804,0.7373716633060354,0.9570179651228606,0.8054576486058219
2019-04-15,0.35793762952573704,0.1555178512413513,0.5269670541966964,0.6413867947254321,1.6205352496900405,0.8767350158774375,1.0006557446294742,1.1317043296665912,0.7337983641269007,0.9559866896678052,0.8051130688542962
2019-04-16,0.3698369236419557,0.1594653371386454,0.5352163251302205,0.6514272202145365,1.6411621325467443,0.8896045877189496,0.9991603410633121,1.1489475002355092,0.7437570505447292,0.9773025225584486,0.8209688691742706
2019-04-17,0.3709938856885785,0.15831307035477094,0.5340800487227851,0.6500659396795728,1.645493167974399,0.8891379287744289,1.0059817424408561,1.1557062365256732,0.7446558385148067,0.9796643734242809,0.824155720099132
2019-04-18,0.37427492837065807,0.1615028353667005,0.5447097150146188,0.662886976748595,1.6511687287658952,0.9019043445768011,1.0109616991699493,1.1445831097039931,0.7557347324305496,0.9890161820689214,0.8322562842685591
2019-04-19,0.3746582714284098,0.1611715045825748,0.5530151181597057,0.6729942750577084,1.686585046333353,0.9175205261262805,1.0074245860729711,1.1449495110053893,0.7675047356429333,1.006298977652139,0.8446174300015283
2019-04-20,0.3770652201956483,0.16108882823743909,0.5602783383873525,0.6818332841031681,1.715697294431309,0.9308333730527745,0.998480128349098,1.152902918284996,0.7763805259089146,1.024395098274039,0.8564124514300973
2019-04-21,0.375415437777498,0.1570178789452069,0.5548613845485644,0.6762766970146783,1.7455808920283318,0.9307092462696529,1.0058882993833242,1.180567438235287,0.7777222506274805,1.036548948180697,0.8671457287332572
2019-04-22,0.3814080617521055,0.15772935072071403,0.5450552002611948,0.66432471386203,1.700062808180831,0.9116537157954537,1.0068429007325572,1.195488141534379,0.7627796863943653,1.021876690716116,0.8563045288673259
2019-04-23,0.39362847552530367,0.1552390098121388,0.5468439989720192,0.6665049392615046,1.748012533124907,0.9222192999865088,0.9940553809738651,1.254369550647259,0.7687559467395383,1.058884960727922,0.8814963513469
2019-04-24,0.3860350476409144,0.14820174782096082,0.5302194708161951,0.646242615546555,1.750361897500901,0.9039416202573516,1.0102593868893912,1.2778700303942307,0.7574144558475272,1.047817720746665,0.8767967583813372
2019-04-25,0.3680678337164484,0.14033243513967894,0.5077624352727645,0.6188930508764795,1.7702897909300808,0.8818582944361893,0.9615285544803684,1.2665308012971597,0.7307023234036911,1.017570571172565,0.8434441860572639
