,,,,total,total,total,fatal,fatal,fatal
vax_name,,,,astra,moderna,pfizer,astra,moderna,pfizer
name0,name1,reaction name,level,,,,,,
Cardiac disorders,Cardiomyopathies,Cardiomyopathy,3,20.0,2.0,19.0,1.0,0.0,2.0
Cardiac disorders,Cardiomyopathies,Cardiomyopathy acute,3,1.0,,,0.0,,
Cardiac disorders,Cardiomyopathies,Cardiomyopathy neonatal,3,1.0,,,0.0,,
Cardiac disorders,Cardiomyopathies,Congestive cardiomyopathy,3,16.0,1.0,9.0,1.0,0.0,0.0
Cardiac disorders,Cardiomyopathies,Restrictive cardiomyopathy,3,,1.0,,,0.0,
Cardiac disorders,Cardiomyopathies,Stress cardiomyopathy,3,6.0,2.0,5.0,0.0,0.0,0.0
Cardiac disorders,Cardiomyopathies,Toxic cardiomyopathy,3,,1.0,,,0.0,
Cardiac disorders,Coronary artery disorders NEC,Arteriosclerosis coronary artery,3,10.0,2.0,3.0,1.0,1.0,0.0
Cardiac disorders,Coronary artery disorders NEC,Coronary artery disease,3,14.0,1.0,10.0,0.0,0.0,3.0
Cardiac disorders,Coronary artery disorders NEC,Coronary artery dissection,3,5.0,,1.0,1.0,,0.0
Cardiac disorders,Coronary artery disorders NEC,Coronary artery embolism,3,1.0,,,0.0,,
Cardiac disorders,Coronary artery disorders NEC,Coronary artery occlusion,3,5.0,1.0,4.0,0.0,0.0,0.0
Cardiac disorders,Coronary artery disorders NEC,Coronary artery stenosis,3,1.0,1.0,,0.0,0.0,
Cardiac disorders,Coronary artery disorders NEC,Coronary artery thrombosis,3,29.0,1.0,8.0,4.0,0.0,2.0
Cardiac disorders,Endocarditis NEC,Endocarditis noninfective,3,,,1.0,,,1.0
Cardiac disorders,Heart failure signs and symptoms,Cardiac asthma,3,1.0,,,0.0,,
Cardiac disorders,Heart failures NEC,Cardiac failure,3,126.0,10.0,94.0,16.0,0.0,12.0
Cardiac disorders,Heart failures NEC,Cardiac failure acute,3,,1.0,10.0,,0.0,2.0
Cardiac disorders,Heart failures NEC,Cardiac failure chronic,3,,,2.0,,,0.0
Cardiac disorders,Heart failures NEC,Cardiac failure congestive,3,,1.0,7.0,,0.0,4.0
Cardiac disorders,Heart failures NEC,Cardiogenic shock,3,,1.0,6.0,,0.0,2.0
Cardiac disorders,Heart failures NEC,Cardiopulmonary failure,3,,1.0,2.0,,1.0,1.0
Cardiac disorders,Ischaemic coronary artery disorders,Acute coronary syndrome,3,9.0,2.0,11.0,0.0,0.0,1.0
Cardiac disorders,Ischaemic coronary artery disorders,Acute myocardial infarction,3,92.0,5.0,32.0,14.0,1.0,5.0
Cardiac disorders,Ischaemic coronary artery disorders,Angina pectoris,3,272.0,76.0,353.0,0.0,0.0,1.0
Cardiac disorders,Ischaemic coronary artery disorders,Angina unstable,3,19.0,3.0,5.0,0.0,0.0,0.0
Cardiac disorders,Ischaemic coronary artery disorders,Arteriospasm coronary,3,7.0,,4.0,0.0,,0.0
Cardiac disorders,Ischaemic coronary artery disorders,Microvascular coronary artery disease,3,2.0,,3.0,0.0,,0.0
Cardiac disorders,Ischaemic coronary artery disorders,Myocardial infarction,3,530.0,53.0,326.0,69.0,5.0,50.0
Cardiac disorders,Ischaemic coronary artery disorders,Myocardial ischaemia,3,37.0,2.0,14.0,14.0,0.0,8.0
Cardiac disorders,Ischaemic coronary artery disorders,Prinzmetal angina,3,2.0,2.0,,0.0,0.0,
Cardiac disorders,Left ventricular failures,Acute left ventricular failure,3,2.0,,2.0,0.0,,2.0
